Organization,Number of Awards,Total Funding,Number of Researchers,Avg Funding per Award
"NOVOTHELIUM, LLC",1,274194.0,1,274194.0
"Antora Energy, Inc.",1,734850.0,2,734850.0
"IVU BIOLOGICS, INC.",1,256000.0,1,256000.0
MIC MONITOR LLC,1,256000.0,1,256000.0
PLANETTE ANALYTICS INC,1,304943.0,1,304943.0
University of Maine,8,3600055.0,18,450006.875
Franklin W. Olin College of Engineering,4,446611.0,4,111652.75
Carnegie-Mellon University,34,17857706.0,67,525226.6470588235
"ONSYSTEM LOGIC, LLC",1,254421.0,1,254421.0
Michigan State University,19,10637209.0,44,559853.1052631579
"University of Maryland, College Park",45,34157389.0,73,759053.088888889
AXILEA LLC,1,256000.0,3,256000.0
HOMININ.AI INC.,1,302668.0,1,302668.0
Lygos Inc.,1,6908604.0,2,6908604.0
University of Nebraska-Lincoln,8,600000.0,9,75000.0
"Medecipher, Inc.",1,999688.0,1,999688.0
Michigan Technological University,12,3559205.0,30,296600.4166666667
ZENOLEAP LLC,2,530999.0,3,265499.5
"WALIA, RAMPYARI",1,275000.0,1,275000.0
SUMMARY ANALYTICS INC.,1,256000.0,1,256000.0
University of Utah,16,5336339.0,24,333521.1875
Portland State University,3,2044973.0,6,681657.6666666666
SUNY at Buffalo,14,4063100.0,26,290221.4285714286
"MILLIMETER WAVE SYSTEMS, LLC",1,965773.0,1,965773.0
LIATRIS INC.,1,999495.0,2,999495.0
SOLIOME LLC,2,1255899.0,1,627949.5
Lehigh University,10,13108784.0,18,1310878.4
Harvard University,16,16849901.0,26,1053118.8125
University of North Carolina at Charlotte,24,4649936.0,40,193747.33333333334
Florida International University,41,4509223.0,54,109981.0487804878
University of Wyoming,2,6099998.0,9,3049999.0
"ARCTURA, INC.",2,1502771.0,2,751385.5
"QUANTWORKS, INC.",1,255719.0,1,255719.0
North Carolina Agricultural & Technical State University,7,2399748.0,22,342821.14285714284
William Marsh Rice University,18,4899333.0,21,272185.1666666667
"SUNTHETICS, INC.",2,1256000.0,1,628000.0
Columbia University,25,15921834.0,42,636873.36
Wayne State University,7,913621.0,12,130517.28571428571
PROBLOCH LLC,1,251462.0,1,251462.0
University of California-Los Angeles,28,8298498.0,49,296374.9285714286
Johns Hopkins University,18,8299623.0,26,461090.1666666667
Arizona State University,30,46527947.0,61,1550931.5666666667
Ohlone Community College District,1,400000.0,3,400000.0
BLUESTEM BIOSCIENCES INC,2,1454223.0,1,727111.5
CABRERA RESEARCH LAB LLC,1,275000.0,1,275000.0
ROGUE SPACE SYSTEMS CORPORATION,1,271381.0,2,271381.0
Oklahoma State University,24,3699560.0,31,154148.33333333334
"QUICKSILVER BIOSCIENCES, INC.",1,255678.0,2,255678.0
"NOVOZYMES, INC",1,5449668.0,1,5449668.0
University of Washington,40,30029043.0,60,750726.075
University of Minnesota-Twin Cities,44,12187746.0,55,276994.2272727273
Tulane University,4,5816823.0,9,1454205.75
STARNAV LLC,2,1232563.0,1,616281.5
OTORO ENERGY INC,2,1484878.0,1,742439.0
FREESCALE LLC,2,1516721.0,2,758360.5
University of Vermont & State Agricultural College,6,2242645.0,8,373774.1666666667
"VERPOND, INC.",1,256000.0,1,256000.0
University of Arizona,31,14798497.0,49,477370.87096774194
The University of Central Florida Board of Trustees,9,8957433.0,20,995270.3333333334
Goeppert LLC,1,275000.0,2,275000.0
BEZWADA BIOMEDICAL LLC,2,1187708.0,1,593854.0
Pennsylvania State Univ University Park,34,5829994.0,46,171470.41176470587
University of New England,1,250000.0,1,250000.0
Tufts University,4,1350000.0,8,337500.0
University of California-Davis,16,8860241.0,26,553765.0625
"LUTRIS, INC.",2,1522558.0,1,761279.0
University of Iowa,14,3299534.0,30,235681.0
SUNY College of Environmental Science and Forestry,4,399326.0,5,99831.5
Frostburg State University,1,400000.0,2,400000.0
University of Kansas Center for Research Inc,8,8049462.0,18,1006182.75
"EASCRA BIOTECH, INC.",1,274990.0,1,274990.0
Virginia Polytechnic Institute and State University,17,4414576.0,32,259680.9411764706
"MAREL POWER SOLUTIONS, INC.",1,256000.0,1,256000.0
"AmpX Technologies, Inc.",1,980058.0,1,980058.0
"MOTION GRAZER AI, INC.",1,275000.0,2,275000.0
BALLYDEL TECHNOLOGIES INC.,2,1207394.0,1,603697.0
University of Pennsylvania,6,1710036.0,11,285006.0
SAVIMBO INC.,1,275000.0,1,275000.0
University of Wisconsin-Milwaukee,9,560000.0,8,62222.22222222222
YARD STICK PBC,1,255858.0,1,255858.0
University of California-Berkeley,46,29265931.0,57,636215.8913043478
Massachusetts Institute of Technology,65,52281639.0,73,804332.9076923077
