State,Organizations,Awards,Total Funding,Avg Funding per Award
California,520,818,506883270.8,619661.7002444988
Massachusetts,228,408,271715494.82,665969.3500490196
New York,219,467,262919739.0,562997.2997858672
Texas,150,378,153409037.7,405844.01507936505
Illinois,79,144,140623139.0,976549.5763888889
Florida,89,186,116413223.0,625877.5430107526
North Carolina,99,194,112607682.0,580451.969072165
Michigan,70,197,107515057.0,545761.7106598985
Colorado,97,154,100931774.0,655401.1298701299
Maryland,90,177,98809389.0,558245.1355932204
Pennsylvania,93,206,96645559.0,469153.1990291262
Arizona,46,120,90850848.0,757090.4
Washington,75,128,85909193.0,671165.5703125
Virginia,67,128,78874431.08,616206.4928125
Georgia,48,106,74938876.0,706970.5283018867
New Jersey,60,159,72921063.0,458623.03773584904
Ohio,61,142,60388731.0,425272.75352112675
Tennessee,41,94,60243550.0,640888.8297872341
Indiana,43,114,53426351.0,468652.20175438595
Oregon,45,74,45776412.0,618600.1621621621
Missouri,27,64,44896074.0,701501.15625
Louisiana,26,52,38815968.0,746460.9230769231
Minnesota,35,91,38219045.0,419989.5054945055
District of Columbia,31,57,37774631.0,662712.8245614035
Alabama,23,61,34055670.0,558289.6721311476
Wisconsin,40,84,30413321.0,362063.34523809527
North Dakota,2,6,30342699.0,5057116.5
Iowa,18,68,27880483.0,410007.10294117645
South Carolina,18,34,25814026.72,759236.08
Utah,29,52,24709900.0,475190.3846153846
Arkansas,20,66,21782810.0,330042.57575757575
Delaware,18,39,21304308.0,546264.3076923077
Connecticut,26,47,18823126.0,400492.0425531915
Oklahoma,11,42,18822143.0,448146.2619047619
Kansas,13,28,17008593.0,607449.75
Maine,13,22,15146561.0,688480.0454545454
Idaho,5,9,15145073.0,1682785.888888889
Kentucky,18,44,14646687.0,332879.25
Mississippi,9,24,14525760.0,605240.0
Montana,9,15,12517760.0,834517.3333333334
New Mexico,22,32,12367195.0,386474.84375
Wyoming,14,16,11832392.0,739524.5
New Hampshire,11,20,9831112.0,491555.6
Nevada,8,17,9804104.0,576712.0
West Virginia,8,22,8809888.0,400449.45454545453
Rhode Island,12,18,8574067.0,476337.05555555556
Hawaii,10,18,7927763.0,440431.27777777775
Vermont,11,18,7384930.0,410273.8888888889
Puerto Rico,10,15,6077823.0,405188.2
Nebraska,7,16,5363289.0,335205.5625
South Dakota,6,12,3086860.0,257238.33333333334
Alaska,5,7,2733906.0,390558.0
Northern Mariana Islands,1,1,399999.0,399999.0
US Virgin Islands,1,1,350000.0,350000.0
Guam,1,1,246858.0,246858.0
