Technology Area,Number of Awards,Total Funding,Avg Funding per Award
Capacity Building,281,527731399.0,1878047.6832740214
Cross-Cutting &amp,281,527731399.0,1878047.6832740214
Biotechnology,1118,410477478.0,367153.3792486583
Artificial Intelligence,339,140003029.0,412988.2861356932
Robotics and Advanced Manufacturing,237,102594926.0,432889.9831223629
"Biotechnology, Artificial Intelligence",134,96608020.0,720955.3731343284
Advanced Computing and Semiconductors,219,95734567.0,437144.1415525114
Advanced Energy and Industrial Efficiency Technologies,208,87153962.0,419009.4326923077
Exploratory Activities,64,70718567.0,1104977.609375
Disaster Prevention and Mitigation,94,48244082.0,513234.91489361704
Advanced Communications,133,48013203.0,361001.5263157895
"Artificial Intelligence, Data and Cybersecurity",80,46587540.0,582344.25
"Advanced Materials, Robotics and Advanced Manufacturing",113,45800471.0,405313.90265486727
"Advanced Energy and Industrial Efficiency Technologies, Advanced Materials",124,45465570.0,366657.82258064515
Quantum Information Science and Technology,41,44960924.0,1096607.9024390243
Advanced Materials,132,44392946.0,336310.19696969696
Data and Cybersecurity,86,40501548.0,470948.23255813954
"Advanced Communications, Data and Cybersecurity, Artificial Intelligence",21,40450501.9,1926214.3761904761
"Robotics and Advanced Manufacturing, Artificial Intelligence",79,35389263.0,447965.35443037975
"Disaster Prevention and Mitigation, Artificial Intelligence",37,33460393.0,904334.9459459459
"Data and Cybersecurity, Artificial Intelligence",60,33451684.0,557528.0666666667
Additional Key Technologies,96,32939666.0,343121.5208333333
"Artificial Intelligence, Robotics and Advanced Manufacturing",50,32041310.0,640826.2
"Biotechnology, Robotics and Advanced Manufacturing",61,27351512.0,448385.4426229508
"Artificial Intelligence, Advanced Communications",34,26090019.0,767353.5
"Data and Cybersecurity, Artificial Intelligence, Disaster Prevention and Mitigation",10,25651780.0,2565178.0
"Biotechnology, Advanced Materials",63,24365283.0,386750.5238095238
"Artificial Intelligence, Biotechnology",88,23902990.0,271624.88636363635
"Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing",62,23896777.0,385431.8870967742
"Disaster Prevention and Mitigation, Biotechnology",71,22084801.0,311053.5352112676
"Disaster Prevention and Mitigation, Biotechnology, Artificial Intelligence",14,16648504.0,1189178.857142857
"Advanced Communications, Biotechnology",23,16505946.0,717649.8260869565
"Advanced Communications, Robotics and Advanced Manufacturing",23,15642983.0,680129.695652174
"Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors, Disaster Prevention and Mitigation, Data and Cybersecurity, Robotics and Advanced Manufacturing, Advanced Materials",1,15000000.0,15000000.0
"Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Disaster Prevention and Mitigation, Artificial Intelligence, Robotics and Advanced Manufacturing",1,15000000.0,15000000.0
"Biotechnology, Artificial Intelligence, Advanced Computing and Semiconductors, Advanced Communications, Data and Cybersecurity, Advanced Materials, Disaster Prevention and Mitigation, Robotics and Advanced Manufacturing",1,15000000.0,15000000.0
"Advanced Materials, Advanced Energy and Industrial Efficiency Technologies, Biotechnology, Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation",1,15000000.0,15000000.0
"Disaster Prevention and Mitigation, Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing",1,15000000.0,15000000.0
"Disaster Prevention and Mitigation, Advanced Materials, Artificial Intelligence, Data and Cybersecurity, Advanced Energy and Industrial Efficiency Technologies, Robotics and Advanced Manufacturing",1,15000000.0,15000000.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors, Advanced Materials, Artificial Intelligence, Data and Cybersecurity",1,14999999.0,14999999.0
"Biotechnology, Advanced Materials, Artificial Intelligence, Robotics and Advanced Manufacturing",1,14999993.0,14999993.0
"Advanced Computing and Semiconductors, Advanced Materials, Artificial Intelligence, Advanced Energy and Industrial Efficiency Technologies, Advanced Communications, Data and Cybersecurity, Robotics and Advanced Manufacturing, Quantum Information Science and Technology",1,14938671.0,14938671.0
"Artificial Intelligence, Advanced Computing and Semiconductors",36,14724695.0,409019.30555555556
"Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Artificial Intelligence",1,14708023.0,14708023.0
"Exploratory Activities, Data and Cybersecurity",10,14420705.0,1442070.5
"Data and Cybersecurity, Advanced Computing and Semiconductors",27,13985250.0,517972.22222222225
"Advanced Energy and Industrial Efficiency Technologies, Disaster Prevention and Mitigation",21,13633900.0,649233.3333333334
"Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Robotics and Advanced Manufacturing",27,13610488.0,504092.14814814815
"Artificial Intelligence, Robotics and Advanced Manufacturing, Advanced Communications",7,13505439.0,1929348.4285714286
"Advanced Computing and Semiconductors, Advanced Materials",28,13392641.0,478308.60714285716
"Artificial Intelligence, Disaster Prevention and Mitigation, Data and Cybersecurity",5,12680446.0,2536089.2
"Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation",13,11477467.0,882882.0769230769
"Advanced Computing and Semiconductors, Advanced Communications",21,10888830.0,518515.71428571426
"Exploratory Activities, Advanced Computing and Semiconductors",5,10723999.0,2144799.8
"Disaster Prevention and Mitigation, Artificial Intelligence, Data and Cybersecurity",10,10513777.719999999,1051377.7719999999
"Advanced Energy and Industrial Efficiency Technologies, Advanced Computing and Semiconductors",27,10485917.0,388367.2962962963
"Advanced Materials, Advanced Energy and Industrial Efficiency Technologies",27,10280710.0,380767.037037037
"Advanced Computing and Semiconductors, Artificial Intelligence",18,9304907.0,516939.27777777775
"Artificial Intelligence, Data and Cybersecurity, Biotechnology",8,9293568.0,1161696.0
"Artificial Intelligence, Advanced Communications, Robotics and Advanced Manufacturing",6,9242959.0,1540493.1666666667
"Exploratory Activities, Artificial Intelligence",19,9241824.0,486411.7894736842
"Advanced Materials, Disaster Prevention and Mitigation",22,9169933.0,416815.13636363635
"Artificial Intelligence, Disaster Prevention and Mitigation",29,8861397.0,305565.4137931034
"Advanced Communications, Advanced Computing and Semiconductors",20,8694668.0,434733.4
"Robotics and Advanced Manufacturing, Advanced Materials",27,8638886.0,319958.74074074073
"Biotechnology, Disaster Prevention and Mitigation",24,8490893.0,353787.2083333333
"Advanced Materials, Disaster Prevention and Mitigation, Robotics and Advanced Manufacturing",8,8355613.0,1044451.625
"Advanced Computing and Semiconductors, Data and Cybersecurity",13,8145076.0,626544.3076923077
"Artificial Intelligence, Biotechnology, Data and Cybersecurity",10,7985728.0,798572.8
"Disaster Prevention and Mitigation, Advanced Computing and Semiconductors",7,7944424.0,1134917.7142857143
